"","id","Name","Name_english","Height","Weight","HP","Attack","Defense","SpAttack","SpDefense","Speed","Total","capture_rate","base_happiness","Type","Type1","Type2","habitat","color","shape","growth_rate","gender_rate","has_gender_differences","is_baby","forms_switchable","LastEvolution","evolves_from_species_id","evolution_chain_id","generation_id","hatch_counter","conquest_order"
"Grainipiot",273,"Grainipiot","seedot",0.51,4,40,40,50,30,30,30,220,255,70,"Grass","Grass",NA,"forest","brown","legs","medium-slow","4","0","0","0",FALSE,NA,137,"3",15,NA
"Pifeuil",274,"Pifeuil","nuzleaf",0.99,28,70,70,40,60,40,60,340,120,70,"Grass~Dark","Grass","Dark","forest","brown","humanoid","medium-slow","4","1","0","0",FALSE,273,137,"3",15,NA
"Tengalice",275,"Tengalice","shiftry",1.3,59.6,90,100,60,90,60,80,480,45,70,"Grass~Dark","Grass","Dark","forest","brown","humanoid","medium-slow","4","1","0","0",TRUE,274,137,"3",15,NA
"Nirondelle",276,"Nirondelle","taillow",0.3,2.3,40,55,30,30,30,85,270,200,70,"Normal~Flying","Normal","Flying","grassland","blue","wings","medium-slow","4","0","0","0",FALSE,NA,138,"3",15,NA
"Hélédelle",277,"Hélédelle","swellow",0.71,19.8,60,85,60,50,50,125,430,45,70,"Normal~Flying","Normal","Flying","grassland","blue","wings","medium-slow","4","0","0","0",TRUE,276,138,"3",15,NA
"Goélise",278,"Goélise","wingull",0.61,9.5,40,30,30,55,30,85,270,190,70,"Water~Flying","Water","Flying","sea","white","wings","medium","4","0","0","0",FALSE,NA,139,"3",20,NA
"Bekipan",279,"Bekipan","pelipper",1.19,28,60,50,100,85,70,65,430,45,70,"Water~Flying","Water","Flying","sea","yellow","wings","medium","4","0","0","0",TRUE,278,139,"3",20,NA
"Tarsal",280,"Tarsal","ralts",0.41,6.6,28,25,25,45,35,40,198,235,35,"Psychic~Fairy","Psychic","Fairy","urban","white","humanoid","slow","4","0","0","0",FALSE,NA,140,"3",20,9
"Kirlia",281,"Kirlia","kirlia",0.79,20.2,38,35,35,65,55,50,278,120,35,"Psychic~Fairy","Psychic","Fairy","urban","white","humanoid","slow","4","0","0","0",FALSE,280,140,"3",20,10
"Gardevoir",282,"Gardevoir","gardevoir",1.6,48.4,68,65,65,125,115,80,518,45,35,"Psychic~Fairy","Psychic","Fairy","urban","white","humanoid","slow","4","0","0","0",TRUE,281,140,"3",20,11
"Arakdo",283,"Arakdo","surskit",0.51,1.7,40,30,32,50,52,65,269,200,70,"Bug~Water","Bug","Water","waters-edge","blue","armor","medium","4","0","0","0",FALSE,NA,141,"3",15,NA
"Maskadra",284,"Maskadra","masquerain",0.79,3.6,70,60,62,80,82,60,414,75,70,"Bug~Flying","Bug","Flying","waters-edge","blue","bug-wings","medium","4","0","0","0",TRUE,283,141,"3",15,NA
"Balignon",285,"Balignon","shroomish",0.41,4.5,60,40,60,40,60,35,295,255,70,"Grass","Grass",NA,"forest","brown","legs","fast-then-very-slow","4","0","0","0",FALSE,NA,142,"3",15,NA
"Chapignon",286,"Chapignon","breloom",1.19,39.2,60,130,80,60,60,70,460,90,70,"Grass~Fighting","Grass","Fighting","forest","green","upright","fast-then-very-slow","4","0","0","0",TRUE,285,142,"3",15,NA
"Parecool",287,"Parecool","slakoth",0.79,24,60,60,60,35,35,30,280,255,70,"Normal","Normal",NA,"forest","brown","quadruped","slow","4","0","0","0",FALSE,NA,143,"3",15,NA
"Vigoroth",288,"Vigoroth","vigoroth",1.4,46.5,80,80,80,55,55,90,440,120,70,"Normal","Normal",NA,"forest","white","upright","slow","4","0","0","0",FALSE,287,143,"3",15,NA
"Monaflèmit",289,"Monaflèmit","slaking",2.01,130.5,150,160,100,95,65,100,670,45,70,"Normal","Normal",NA,"forest","brown","humanoid","slow","4","0","0","0",TRUE,288,143,"3",15,NA
"Ningale",290,"Ningale","nincada",0.51,5.5,31,45,90,30,30,40,266,255,70,"Bug~Ground","Bug","Ground","forest","gray","armor","slow-then-very-fast","4","0","0","0",FALSE,NA,144,"3",15,NA
"Ninjask",291,"Ninjask","ninjask",0.79,12,61,90,45,50,50,160,456,120,70,"Bug~Flying","Bug","Flying","forest","yellow","bug-wings","slow-then-very-fast","4","0","0","0",TRUE,290,144,"3",15,NA
"Munja",292,"Munja","shedinja",0.79,1.2,1,90,45,30,30,40,236,45,70,"Bug~Ghost","Bug","Ghost","forest","brown","blob","slow-then-very-fast","-1","0","0","0",FALSE,290,144,"3",15,NA
"Chuchmur",293,"Chuchmur","whismur",0.61,16.3,64,51,23,51,23,28,240,190,70,"Normal","Normal",NA,"cave","pink","upright","medium-slow","4","0","0","0",FALSE,NA,145,"3",20,NA
"Ramboum",294,"Ramboum","loudred",0.99,40.5,84,71,43,71,43,48,360,120,70,"Normal","Normal",NA,"cave","blue","upright","medium-slow","4","0","0","0",FALSE,293,145,"3",20,NA
"Brouhabam",295,"Brouhabam","exploud",1.5,84,104,91,63,91,63,68,480,45,70,"Normal","Normal",NA,"cave","blue","upright","medium-slow","4","0","0","0",TRUE,294,145,"3",20,NA
"Makuhita",296,"Makuhita","makuhita",0.99,86.4,72,60,30,20,30,25,237,180,70,"Fighting","Fighting",NA,"mountain","yellow","humanoid","fast-then-very-slow","2","0","0","0",FALSE,NA,146,"3",20,NA
"Hariyama",297,"Hariyama","hariyama",2.31,253.8,144,120,60,40,60,50,474,200,70,"Fighting","Fighting",NA,"mountain","brown","humanoid","fast-then-very-slow","2","0","0","0",TRUE,296,146,"3",20,NA
"Azurill",298,"Azurill","azurill",0.2,2,50,20,40,20,40,20,190,150,70,"Normal~Fairy","Normal","Fairy","waters-edge","blue","legs","fast","6","0","1","0",FALSE,NA,90,"3",10,NA
"Tarinor",299,"Tarinor","nosepass",0.99,97,30,45,135,45,90,30,375,255,70,"Rock","Rock",NA,"cave","gray","humanoid","medium","4","0","0","0",FALSE,NA,147,"3",20,NA
"Skitty",300,"Skitty","skitty",0.61,11,50,45,45,35,35,50,260,255,70,"Normal","Normal",NA,"forest","pink","quadruped","fast","6","0","0","0",FALSE,NA,148,"3",15,NA
"Delcatty",301,"Delcatty","delcatty",1.09,32.6,70,65,65,55,55,70,380,60,70,"Normal","Normal",NA,"forest","purple","quadruped","fast","6","0","0","0",TRUE,300,148,"3",15,NA
"Ténéfix",302,"Ténéfix","sableye",0.51,11,50,75,75,65,65,50,380,45,35,"Dark~Ghost","Dark","Ghost","cave","purple","humanoid","medium-slow","4","0","0","0",TRUE,NA,149,"3",25,NA
"Mysdibule",303,"Mysdibule","mawile",0.61,11.5,50,85,85,55,55,50,380,45,70,"Steel~Fairy","Steel","Fairy","cave","black","humanoid","fast","4","0","0","0",TRUE,NA,150,"3",20,NA
"Galekid",304,"Galekid","aron",0.41,60,50,70,100,40,40,30,330,180,35,"Steel~Rock","Steel","Rock","mountain","gray","quadruped","slow","4","0","0","0",FALSE,NA,151,"3",35,149
"Galegon",305,"Galegon","lairon",0.89,120,60,90,140,50,50,40,430,90,35,"Steel~Rock","Steel","Rock","mountain","gray","quadruped","slow","4","0","0","0",FALSE,304,151,"3",35,150
"Galeking",306,"Galeking","aggron",2.11,360,70,110,180,60,60,50,530,45,35,"Steel~Rock","Steel","Rock","mountain","gray","upright","slow","4","0","0","0",TRUE,305,151,"3",35,151
"Méditikka",307,"Méditikka","meditite",0.61,11.2,30,40,55,40,55,60,280,180,70,"Fighting~Psychic","Fighting","Psychic","mountain","blue","humanoid","medium","4","1","0","0",FALSE,NA,152,"3",20,NA
"Charmina",308,"Charmina","medicham",1.3,31.5,60,60,75,60,75,80,410,90,70,"Fighting~Psychic","Fighting","Psychic","mountain","red","humanoid","medium","4","1","0","0",TRUE,307,152,"3",20,NA
"Dynavolt",309,"Dynavolt","electrike",0.61,15.2,40,45,40,65,40,65,295,120,70,"Electric","Electric",NA,"grassland","green","quadruped","slow","4","0","0","0",FALSE,NA,153,"3",20,NA
"Élecsprint",310,"Élecsprint","manectric",1.5,40.2,70,75,60,105,60,105,475,45,70,"Electric","Electric",NA,"grassland","yellow","quadruped","slow","4","0","0","0",TRUE,309,153,"3",20,NA
"Posipi",311,"Posipi","plusle",0.41,4.2,60,50,40,85,75,95,405,200,70,"Electric","Electric",NA,"grassland","yellow","upright","medium","4","0","0","0",TRUE,NA,154,"3",20,NA
"Négapi",312,"Négapi","minun",0.41,4.2,60,40,50,75,85,95,405,200,70,"Electric","Electric",NA,"grassland","yellow","upright","medium","4","0","0","0",TRUE,NA,155,"3",20,NA
"Muciole",313,"Muciole","volbeat",0.71,17.7,65,73,55,47,75,85,400,150,70,"Bug","Bug",NA,"forest","gray","upright","slow-then-very-fast","0","0","0","0",TRUE,NA,156,"3",15,NA
"Lumivole",314,"Lumivole","illumise",0.61,17.7,65,47,55,73,75,85,400,150,70,"Bug","Bug",NA,"forest","purple","humanoid","fast-then-very-slow","8","0","0","0",TRUE,NA,157,"3",15,NA
"Rosélia",315,"Rosélia","roselia",0.3,2,50,60,45,100,80,65,400,150,70,"Grass~Poison","Grass","Poison","grassland","green","humanoid","medium-slow","4","1","0","0",FALSE,406,158,"3",20,NA
"Gloupti",316,"Gloupti","gulpin",0.41,10.3,70,43,53,43,53,40,302,225,70,"Poison","Poison",NA,"grassland","green","arms","fast-then-very-slow","4","1","0","0",FALSE,NA,159,"3",20,NA
"Avaltout",317,"Avaltout","swalot",1.7,80,100,73,83,73,83,55,467,75,70,"Poison","Poison",NA,"grassland","purple","arms","fast-then-very-slow","4","1","0","0",TRUE,316,159,"3",20,NA
"Carvanha",318,"Carvanha","carvanha",0.79,20.8,45,90,20,65,20,65,305,225,35,"Water~Dark","Water","Dark","sea","red","fish","slow","4","0","0","0",FALSE,NA,160,"3",20,NA
"Sharpedo",319,"Sharpedo","sharpedo",1.8,88.8,70,120,40,95,40,95,460,60,35,"Water~Dark","Water","Dark","sea","blue","fish","slow","4","0","0","0",TRUE,318,160,"3",20,NA
"Wailmer",320,"Wailmer","wailmer",2.01,130,130,70,35,70,35,60,400,125,70,"Water","Water",NA,"sea","blue","fish","fast-then-very-slow","4","0","0","0",FALSE,NA,161,"3",40,NA
"Wailord",321,"Wailord","wailord",14.5,398,170,90,45,90,45,60,500,60,70,"Water","Water",NA,"sea","blue","fish","fast-then-very-slow","4","0","0","0",TRUE,320,161,"3",40,NA
"Chamallot",322,"Chamallot","numel",0.71,24,60,60,40,65,45,35,305,255,70,"Fire~Ground","Fire","Ground","mountain","yellow","quadruped","medium","4","1","0","0",FALSE,NA,162,"3",20,NA
"Camérupt",323,"Camérupt","camerupt",1.91,220,70,100,70,105,75,40,460,150,70,"Fire~Ground","Fire","Ground","mountain","red","quadruped","medium","4","1","0","0",TRUE,322,162,"3",20,NA
"Chartor",324,"Chartor","torkoal",0.51,80.4,70,85,140,85,70,20,470,90,70,"Fire","Fire",NA,"mountain","brown","quadruped","medium","4","0","0","0",TRUE,NA,163,"3",20,NA
"Spoink",325,"Spoink","spoink",0.71,30.6,60,25,35,70,80,60,330,255,70,"Psychic","Psychic",NA,"mountain","black","arms","fast","4","0","0","0",FALSE,NA,164,"3",20,NA
"Groret",326,"Groret","grumpig",0.89,71.5,80,45,65,90,110,80,470,60,70,"Psychic","Psychic",NA,"mountain","purple","upright","fast","4","0","0","0",TRUE,325,164,"3",20,NA
"Spinda",327,"Spinda","spinda",1.09,5,60,60,60,60,60,60,360,255,70,"Normal","Normal",NA,"mountain","brown","upright","fast","4","0","0","0",TRUE,NA,165,"3",15,NA
"Kraknoix",328,"Kraknoix","trapinch",0.71,15,45,100,45,45,45,10,290,255,70,"Ground","Ground",NA,"rough-terrain","brown","armor","medium-slow","4","0","0","0",FALSE,NA,166,"3",20,NA
"Vibraninf",329,"Vibraninf","vibrava",1.09,15.3,50,70,50,50,50,70,340,120,70,"Ground~Dragon","Ground","Dragon","rough-terrain","green","bug-wings","medium-slow","4","0","0","0",FALSE,328,166,"3",20,NA
"Libégon",330,"Libégon","flygon",2.01,82,80,100,80,80,80,100,520,45,70,"Ground~Dragon","Ground","Dragon","rough-terrain","green","wings","medium-slow","4","0","0","0",TRUE,329,166,"3",20,NA
"Cacnea",331,"Cacnea","cacnea",0.41,51.3,50,85,40,85,40,35,335,190,35,"Grass","Grass",NA,"rough-terrain","green","humanoid","medium-slow","4","0","0","0",FALSE,NA,167,"3",20,NA
"Cacturne",332,"Cacturne","cacturne",1.3,77.4,70,115,60,115,60,55,475,60,35,"Grass~Dark","Grass","Dark","rough-terrain","green","humanoid","medium-slow","4","1","0","0",TRUE,331,167,"3",20,NA
"Tylton",333,"Tylton","swablu",0.41,1.2,45,40,60,40,75,50,310,255,70,"Normal~Flying","Normal","Flying","forest","blue","wings","slow-then-very-fast","4","0","0","0",FALSE,NA,168,"3",20,NA
"Altaria",334,"Altaria","altaria",1.09,20.6,75,70,90,70,105,80,490,45,70,"Dragon~Flying","Dragon","Flying","forest","blue","wings","slow-then-very-fast","4","0","0","0",TRUE,333,168,"3",20,NA
"Mangriff",335,"Mangriff","zangoose",1.3,40.3,73,115,60,60,60,90,458,90,70,"Normal","Normal",NA,"grassland","white","upright","slow-then-very-fast","4","0","0","0",TRUE,NA,169,"3",20,NA
"Séviper",336,"Séviper","seviper",2.69,52.5,73,100,60,100,60,65,458,90,70,"Poison","Poison",NA,"grassland","black","squiggle","fast-then-very-slow","4","0","0","0",TRUE,NA,170,"3",20,NA
"Séléroc",337,"Séléroc","lunatone",0.99,168,70,55,65,95,85,70,440,45,70,"Rock~Psychic","Rock","Psychic","cave","yellow","ball","fast","-1","0","0","0",TRUE,NA,171,"3",25,NA
"Solaroc",338,"Solaroc","solrock",1.19,154,70,95,85,55,65,70,440,45,70,"Rock~Psychic","Rock","Psychic","cave","red","ball","fast","-1","0","0","0",TRUE,NA,172,"3",25,NA
"Barloche",339,"Barloche","barboach",0.41,1.9,50,48,43,46,41,60,288,190,70,"Water~Ground","Water","Ground","waters-edge","gray","fish","medium","4","0","0","0",TRUE,NA,173,"3",20,NA
"Barbicha",340,"Barbicha","whiscash",0.89,23.6,110,78,73,76,71,60,468,75,70,"Water~Ground","Water","Ground","waters-edge","blue","fish","medium","4","0","0","0",TRUE,339,173,"3",20,NA
"Écrapince",341,"Écrapince","corphish",0.61,11.5,43,80,65,50,35,35,308,205,70,"Water","Water",NA,"waters-edge","red","armor","fast-then-very-slow","4","0","0","0",FALSE,NA,174,"3",15,NA
"Colhomard",342,"Colhomard","crawdaunt",1.09,32.8,63,120,85,90,55,55,468,155,70,"Water~Dark","Water","Dark","waters-edge","red","armor","fast-then-very-slow","4","0","0","0",TRUE,341,174,"3",15,NA
"Balbuto",343,"Balbuto","baltoy",0.51,21.5,40,40,55,40,70,55,300,255,70,"Ground~Psychic","Ground","Psychic","rough-terrain","brown","arms","medium","-1","0","0","0",FALSE,NA,175,"3",20,NA
"Kaorine",344,"Kaorine","claydol",1.5,108,60,70,105,70,120,75,500,90,70,"Ground~Psychic","Ground","Psychic","rough-terrain","black","arms","medium","-1","0","0","0",TRUE,343,175,"3",20,NA
"Lilia",345,"Lilia","lileep",0.99,23.8,66,41,77,61,87,23,355,45,70,"Rock~Grass","Rock","Grass","sea","purple","blob","slow-then-very-fast","1","0","0","0",FALSE,NA,176,"3",30,NA
"Vacilys",346,"Vacilys","cradily",1.5,60.4,86,81,97,81,107,43,495,45,70,"Rock~Grass","Rock","Grass","sea","green","blob","slow-then-very-fast","1","0","0","0",TRUE,345,176,"3",30,NA
"Anorith",347,"Anorith","anorith",0.71,12.5,45,95,50,40,50,75,355,45,70,"Rock~Bug","Rock","Bug","waters-edge","gray","armor","slow-then-very-fast","1","0","0","0",FALSE,NA,177,"3",30,171
"Armaldo",348,"Armaldo","armaldo",1.5,68.2,75,125,100,70,80,45,495,45,70,"Rock~Bug","Rock","Bug","waters-edge","gray","upright","slow-then-very-fast","1","0","0","0",TRUE,347,177,"3",30,172
"Barpau",349,"Barpau","feebas",0.61,7.4,20,15,20,10,55,80,200,255,70,"Water","Water",NA,"waters-edge","brown","fish","slow-then-very-fast","4","0","0","0",FALSE,NA,178,"3",20,NA
"Milobellus",350,"Milobellus","milotic",6.2,162,95,60,79,100,125,81,540,60,70,"Water","Water",NA,"waters-edge","pink","squiggle","slow-then-very-fast","4","1","0","0",TRUE,349,178,"3",20,NA
"Morphéo",351,"Morphéo","castform",0.3,0.8,70,70,70,70,70,70,420,45,70,"Normal","Normal",NA,"grassland","white","ball","medium","4","0","0","1",TRUE,NA,179,"3",25,NA
"Kecleon",352,"Kecleon","kecleon",0.99,22,60,90,70,60,120,40,440,200,70,"Normal","Normal",NA,"forest","green","upright","medium-slow","4","0","0","0",TRUE,NA,180,"3",20,NA
"Polichombr",353,"Polichombr","shuppet",0.61,2.3,44,75,35,63,33,45,295,225,35,"Ghost","Ghost",NA,"urban","black","ball","fast","4","0","0","0",FALSE,NA,181,"3",25,NA
"Branette",354,"Branette","banette",1.09,12.5,64,115,65,83,63,65,455,45,35,"Ghost","Ghost",NA,"urban","black","upright","fast","4","0","0","0",TRUE,353,181,"3",25,NA
"Skelénox",355,"Skelénox","duskull",0.79,15,20,40,90,30,90,25,295,190,35,"Ghost","Ghost",NA,"forest","black","arms","fast","4","0","0","0",FALSE,NA,182,"3",25,69
"Téraclope",356,"Téraclope","dusclops",1.6,30.6,40,70,130,60,130,25,455,90,35,"Ghost","Ghost",NA,"forest","black","humanoid","fast","4","0","0","0",FALSE,355,182,"3",25,70
"Tropius",357,"Tropius","tropius",2.01,100,99,68,83,72,87,51,460,200,70,"Grass~Flying","Grass","Flying","forest","green","quadruped","slow","4","0","0","0",TRUE,NA,183,"3",25,NA
"Éoko",358,"Éoko","chimecho",0.61,1,65,50,70,95,80,65,425,45,70,"Psychic","Psychic",NA,"grassland","blue","arms","fast","4","0","0","0",TRUE,433,184,"3",25,53
"Absol",359,"Absol","absol",1.19,47,65,130,60,75,60,75,465,30,35,"Dark","Dark",NA,"mountain","white","quadruped","medium-slow","4","0","0","0",TRUE,NA,185,"3",25,NA
"Okéoké",360,"Okéoké","wynaut",0.61,14,95,23,48,23,48,23,260,125,70,"Psychic","Psychic",NA,"cave","blue","upright","medium","4","0","1","0",FALSE,NA,100,"3",20,NA
"Stalgamin",361,"Stalgamin","snorunt",0.71,16.8,50,50,50,50,50,50,300,190,70,"Ice","Ice",NA,"cave","gray","humanoid","medium","4","0","0","0",FALSE,NA,186,"3",20,93
"Oniglali",362,"Oniglali","glalie",1.5,256.5,80,80,80,80,80,80,480,75,70,"Ice","Ice",NA,"cave","gray","ball","medium","4","0","0","0",TRUE,361,186,"3",20,94
"Obalie",363,"Obalie","spheal",0.79,39.5,70,40,50,55,50,25,290,255,70,"Ice~Water","Ice","Water","sea","blue","fish","medium-slow","4","0","0","0",FALSE,NA,187,"3",20,60
"Phogleur",364,"Phogleur","sealeo",1.09,87.6,90,60,70,75,70,45,410,120,70,"Ice~Water","Ice","Water","sea","blue","fish","medium-slow","4","0","0","0",FALSE,363,187,"3",20,61
"Kaimorse",365,"Kaimorse","walrein",1.4,150.6,110,80,90,95,90,65,530,45,70,"Ice~Water","Ice","Water","sea","blue","quadruped","medium-slow","4","0","0","0",TRUE,364,187,"3",20,62
"Coquiperl",366,"Coquiperl","clamperl",0.41,52.5,35,64,85,74,55,32,345,255,70,"Water","Water",NA,"sea","blue","ball","slow-then-very-fast","4","0","0","0",FALSE,NA,188,"3",20,NA
"Serpang",367,"Serpang","huntail",1.7,27,55,104,105,94,75,52,485,60,70,"Water","Water",NA,"sea","blue","squiggle","slow-then-very-fast","4","0","0","0",TRUE,366,188,"3",20,NA
"Rosabyss",368,"Rosabyss","gorebyss",1.8,22.6,55,84,105,114,75,52,485,60,70,"Water","Water",NA,"sea","pink","squiggle","slow-then-very-fast","4","0","0","0",TRUE,366,188,"3",20,NA
"Relicanth",369,"Relicanth","relicanth",0.99,23.4,100,90,130,45,65,55,485,25,70,"Water~Rock","Water","Rock","sea","gray","fish","slow","1","1","0","0",TRUE,NA,189,"3",40,NA
"Lovdisc",370,"Lovdisc","luvdisc",0.61,8.7,43,30,55,40,65,97,330,225,70,"Water","Water",NA,"sea","pink","fish","fast","6","0","0","0",TRUE,NA,190,"3",20,NA
"Draby",371,"Draby","bagon",0.61,42.1,45,75,60,40,30,50,300,45,35,"Dragon","Dragon",NA,"rough-terrain","blue","humanoid","slow","4","0","0","0",FALSE,NA,191,"3",40,NA
"Drackhaus",372,"Drackhaus","shelgon",1.09,110.5,65,95,100,60,50,50,420,45,35,"Dragon","Dragon",NA,"rough-terrain","white","quadruped","slow","4","0","0","0",FALSE,371,191,"3",40,NA
"Drattak",373,"Drattak","salamence",1.5,102.6,95,135,80,110,80,100,600,45,35,"Dragon~Flying","Dragon","Flying","rough-terrain","blue","quadruped","slow","4","0","0","0",TRUE,372,191,"3",40,NA
"Terhal",374,"Terhal","beldum",0.61,95.2,40,55,80,35,60,30,300,3,35,"Steel~Psychic","Steel","Psychic","rough-terrain","blue","blob","slow","-1","0","0","0",FALSE,NA,192,"3",40,82
"Métang",375,"Métang","metang",1.19,202.5,60,75,100,55,80,50,420,3,35,"Steel~Psychic","Steel","Psychic","rough-terrain","blue","arms","slow","-1","0","0","0",FALSE,374,192,"3",40,83
"Métalosse",376,"Métalosse","metagross",1.6,550,80,135,130,95,90,70,600,3,35,"Steel~Psychic","Steel","Psychic","rough-terrain","blue","heads","slow","-1","0","0","0",TRUE,375,192,"3",40,84
"Regirock",377,"Regirock","regirock",1.7,230,80,100,200,50,100,50,580,3,35,"Rock","Rock",NA,"cave","brown","humanoid","slow","-1","0","0","0",TRUE,NA,193,"3",80,NA
"Regice",378,"Regice","regice",1.8,175,80,50,100,100,200,50,580,3,35,"Ice","Ice",NA,"cave","blue","humanoid","slow","-1","0","0","0",TRUE,NA,194,"3",80,NA
"Registeel",379,"Registeel","registeel",1.91,205,80,75,150,75,150,50,580,3,35,"Steel","Steel",NA,"cave","gray","humanoid","slow","-1","0","0","0",TRUE,NA,195,"3",80,193
"Latias",380,"Latias","latias",1.4,40,80,80,90,110,130,110,600,3,90,"Dragon~Psychic","Dragon","Psychic","waters-edge","red","wings","slow","8","0","0","0",TRUE,NA,196,"3",120,NA
"Latios",381,"Latios","latios",2.01,60,80,90,80,130,110,110,600,3,90,"Dragon~Psychic","Dragon","Psychic","waters-edge","blue","wings","slow","0","0","0","0",TRUE,NA,197,"3",120,NA
"Kyogre",382,"Kyogre","kyogre",4.5,352,100,100,90,150,140,90,670,5,0,"Water","Water",NA,"sea","blue","fish","slow","-1","0","0","0",TRUE,NA,198,"3",120,NA
"Groudon",383,"Groudon","groudon",3.51,950,100,150,140,100,90,90,670,5,0,"Ground","Ground",NA,"rough-terrain","red","upright","slow","-1","0","0","0",TRUE,NA,199,"3",120,194
"Rayquaza",384,"Rayquaza","rayquaza",7.01,206.5,105,150,90,150,90,95,680,3,0,"Dragon~Flying","Dragon","Flying","rare","green","squiggle","slow","-1","0","0","0",TRUE,NA,200,"3",120,200
"Jirachi",385,"Jirachi","jirachi",0.3,1.1,100,100,100,100,100,100,600,3,100,"Steel~Psychic","Steel","Psychic","mountain","yellow","humanoid","slow","-1","0","0","0",TRUE,NA,201,"3",120,NA
"Deoxys(Forme de Base)",386,"Deoxys(Forme de Base)","deoxys",1.7,60.8,50,150,50,150,50,150,600,3,0,"Psychic","Psychic",NA,"rare","red","humanoid","slow","-1","0","0","1",TRUE,NA,202,"3",120,NA
"Tortipouss",387,"Tortipouss","turtwig",0.41,10.2,55,68,64,45,55,31,318,45,70,"Grass","Grass",NA,NA,"green","quadruped","medium-slow","1","0","0","0",FALSE,NA,203,"4",20,NA
"Boskara",388,"Boskara","grotle",1.09,97,75,89,85,55,65,36,405,45,70,"Grass","Grass",NA,NA,"green","quadruped","medium-slow","1","0","0","0",FALSE,387,203,"4",20,NA
"Torterra",389,"Torterra","torterra",2.21,310,95,109,105,75,85,56,525,45,70,"Grass~Ground","Grass","Ground",NA,"green","quadruped","medium-slow","1","0","0","0",TRUE,388,203,"4",20,NA
"Ouisticram",390,"Ouisticram","chimchar",0.51,6.2,44,58,44,58,44,61,309,45,70,"Fire","Fire",NA,NA,"brown","upright","medium-slow","1","0","0","0",FALSE,NA,204,"4",20,115
"Chimpenfeu",391,"Chimpenfeu","monferno",0.89,22,64,78,52,78,52,81,405,45,70,"Fire~Fighting","Fire","Fighting",NA,"brown","upright","medium-slow","1","0","0","0",FALSE,390,204,"4",20,116
"Simiabraz",392,"Simiabraz","infernape",1.19,55,76,104,71,104,71,108,534,45,70,"Fire~Fighting","Fire","Fighting",NA,"brown","upright","medium-slow","1","0","0","0",TRUE,391,204,"4",20,117
"Tiplouf",393,"Tiplouf","piplup",0.41,5.2,53,51,53,61,56,40,314,45,70,"Water","Water",NA,NA,"blue","humanoid","medium-slow","1","0","0","0",FALSE,NA,205,"4",20,133
"Prinplouf",394,"Prinplouf","prinplup",0.79,23,64,66,68,81,76,50,405,45,70,"Water","Water",NA,NA,"blue","upright","medium-slow","1","0","0","0",FALSE,393,205,"4",20,134
"Pingoléon",395,"Pingoléon","empoleon",1.7,84.5,84,86,88,111,101,60,530,45,70,"Water~Steel","Water","Steel",NA,"blue","upright","medium-slow","1","0","0","0",TRUE,394,205,"4",20,135
"Étourmi",396,"Étourmi","starly",0.3,2,40,55,30,30,30,60,245,255,70,"Normal~Flying","Normal","Flying",NA,"brown","wings","medium-slow","4","1","0","0",FALSE,NA,206,"4",15,26
"Étourvol",397,"Étourvol","staravia",0.61,15.5,55,75,50,40,40,80,340,120,70,"Normal~Flying","Normal","Flying",NA,"brown","wings","medium-slow","4","1","0","0",FALSE,396,206,"4",15,27
"Étouraptor",398,"Étouraptor","staraptor",1.19,24.9,85,120,70,50,50,100,475,45,70,"Normal~Flying","Normal","Flying",NA,"brown","wings","medium-slow","4","1","0","0",TRUE,397,206,"4",15,28
"Keunotor",399,"Keunotor","bidoof",0.51,20,59,45,40,35,40,31,250,255,70,"Normal","Normal",NA,NA,"brown","quadruped","medium","4","1","0","0",FALSE,NA,207,"4",15,29
"Castorno",400,"Castorno","bibarel",0.99,31.5,79,85,60,55,60,71,410,127,70,"Normal~Water","Normal","Water",NA,"brown","upright","medium","4","1","0","0",TRUE,399,207,"4",15,30
"Crikzik",401,"Crikzik","kricketot",0.3,2.2,37,25,41,25,41,25,194,255,70,"Bug","Bug",NA,NA,"red","humanoid","medium-slow","4","1","0","0",FALSE,NA,208,"4",15,NA
"Mélokrik",402,"Mélokrik","kricketune",0.99,25.5,77,85,51,55,51,65,384,45,70,"Bug","Bug",NA,NA,"red","bug-wings","medium-slow","4","1","0","0",TRUE,401,208,"4",15,NA
"Lixy",403,"Lixy","shinx",0.51,9.5,45,65,34,40,34,45,263,235,70,"Electric","Electric",NA,NA,"blue","quadruped","medium-slow","4","1","0","0",FALSE,NA,209,"4",20,34
"Luxio",404,"Luxio","luxio",0.89,30.5,60,85,49,60,49,60,363,120,100,"Electric","Electric",NA,NA,"blue","quadruped","medium-slow","4","1","0","0",FALSE,403,209,"4",20,35
"Luxray",405,"Luxray","luxray",1.4,42,80,120,79,95,79,70,523,45,70,"Electric","Electric",NA,NA,"blue","quadruped","medium-slow","4","1","0","0",TRUE,404,209,"4",20,36
"Rozbouton",406,"Rozbouton","budew",0.2,1.2,40,30,35,50,70,55,280,255,70,"Grass~Poison","Grass","Poison",NA,"green","humanoid","medium-slow","4","0","1","0",FALSE,NA,158,"4",20,NA
"Roserade",407,"Roserade","roserade",0.89,14.5,60,70,55,125,105,90,505,75,70,"Grass~Poison","Grass","Poison",NA,"green","humanoid","medium-slow","4","1","0","0",TRUE,315,158,"4",20,NA
